id,"name","homepage","created_at","updated_at","access","logo_url",entrance_fee,"detail"
1,"セントラルスポーツ新宿店","https://www.central.co.jp/","2016-05-06 09:28:24","2016-05-06 09:28:24","新宿駅西口徒歩２分","http://sportsclub.nifty.com/parts/logo/rne_rogo.png",10000,"駅近のホットヨガスタジオとマシンジムが融合した新感覚のスポーツクラブ！人気はホットヨガ！冷え症改善！その他のレッスン盛りだくさん！ランニングマシンが豊富！トレーニングマシン、フリーウエイトも最新鋭！パーソナルトレーニングも実施中！運動後はシャワー、サウナでリフレッシュ。"
2,"GOLD GYM札幌店","http://www.goldsgym.jp/","2016-05-06 09:28:24","2016-05-06 09:28:24","札幌駅西口徒歩１分","http://sportsclub.nifty.com/parts/logo/golds_logo.png",5000,NULL
3,"stydio yoggy新宿店","http://www.studio-yoggy.com/guide/index.html","2016-05-06 09:28:24","2016-05-06 09:28:24","初台駅から徒歩1分","https://www.yoga-gene.com/wp-content/uploads/mt-instructor-studioyoggy_logo_jf.jpg",3000,NULL
4,"スポーツクラブ ルネサンス 函館",NULL,"2016-05-18 07:49:21","2016-05-18 07:49:21","東山小学校すぐ産業道路沿い","http://sportsclub.nifty.com/parts/logo/rne_rogo.png",5000,"トレーニングジムは有酸素エリアと筋力トレーニングエリアに分かれています。有酸素エリアでは体脂肪燃焼やダイエットに効果的であり、筋力トレーニングエリアは部位ごとの効果的なシェイプアップや筋力増強に役立ちます。これらは経験豊富なトレーナーのサポートで行うことができるため、未経験者も安心して始めることができ、95％の人が入会して3ヶ月後も継続利用しています。スタジオではヨガ、ダンス、エアロビクス、ストレッチボールなどのレッスンを受け放題であり、男性も利用することができます。プールはインドアの温水プールであり、天候や温度に左右されることなく利用することができます。水泳はもちろんのこと、アクアビクスや水中ウォーキングもできるため、リハビリの為に利用する人もいます。"
5,"スポーツクラブ ルネサンス 札幌平岸",NULL,"2016-05-18 07:49:22","2016-05-18 07:49:22","南北線「平岸駅」「南平岸駅」徒歩5分、南北線「中の島駅」徒歩10分。平岸街道沿い西友隣り。
","http://sportsclub.nifty.com/parts/logo/rne_rogo.png",5000,"ジムエリアには多数の設備を備えた有酸素マシンエリアやウエイトマシンエリアがあり、スタジオではエアロビクス、ヨガ、バランスボールなどのプログラムからダンス系プログラムや格闘技系プログラムなどを備えています。多数のプログラムが実施されているため、男性も女性も、自分にピッタリのプログラムを見つけられます。プールでは泳法レッスンが行われており、テニスコートではテニススクールが行われています。この他ゴルフレンジではゴルフスクールも行われているなど様々なスクールが設けられており、それぞれの趣味に応じて取り組むことができるほか、仲間を作る場所としても最適です。トレーニングの後は浴室やエステで疲れた体を癒しましょう。"
6,"スパ＆フィットネス　ルネサンス・アリオ札幌",NULL,"2016-05-18 07:49:22","2016-05-18 07:49:22","JR苗穂駅から徒歩10分、地下鉄東豊線「東区役所前」より徒歩15分(※無料送迎シャトルバスあり)","http://sportsclub.nifty.com/parts/logo/rne_rogo.png",5000,"ジムエリアは2種類に分かれており、有酸素トレーニングエリアではウォーキング・ランニングマシンや山登りをシミュレーションするマイマウンテンなどがあります。もう1箇所は筋力トレーニングエリアであり、安全性が高いマシンで効果的なトレーニングを行うことができます。フリースペースではバランスボールやストレッチボールでのトレーニングが可能であり、ストレッチ専用のストレッチスペースも設けられています。ここには普通のストレッチマットだけではなく、柔軟性を高められるホットレッチマットも導入されています。スタジオではシェイプアップ系、リラクゼーション系など多彩なプログラムが毎週100本以上実施されているので、自分が好むプログラムを見つけて取り組むことができます。"
7,"カーブスイオンモール苫小牧",NULL,"2016-05-18 07:49:22","2016-05-18 07:49:22","イオンモール苫小牧の2階","http://sportsclub.nifty.com/parts/logo/curves_logo.png",5000,"全国約1,600店舗と日本で最も多くの店舗を誇る女性だけの30分健康体操教室、カーブスの店舗です。カーブスはいつまでも「自分らしく」「美しく」「健康でありたい」と考える女性を応援する体操教室です。運動が苦手な女性、年齢による体力低下を心配されている女性、…そんな様々な悩みを抱えた女性に最適のプログラムをご提供します。カーブスに通っている方は40～60歳代が中心！最高齢はなんと99歳です。運動が苦手な方、ひざ腰や体力に不安のある方でも、あなたの体力・体調に合わせて運動して頂くことができます。
カーブスの特徴
◆カーブス独自の30分プログラム

自分のペースでできるやさしい筋力運動と長時間でも続けられる有酸素運動を組み合わせることで、「脂肪が燃えやすい体質」づくりを30分で実現。
ひとつひとつが女性に合わせたプログラムなので無理なく続けることができます。
1回たった30分でささっと運動でき、営業時間内ならいつでも予約いらずでご来店いただくことができます。

◆安全な運動環境

運動を始める前に女性コーチがお声かけしてひとりひとりの体調を確認します。
血圧が気になるかたは運動前に血圧を測定していただき、結果をもとに運動の調整ができます。
関節や筋肉に痛みがある場合にも、身体の状態に合わせた痛みが出ないような運動を女性コーチがサポートしますので安全に運動ができます。
身体や運動に不安があるかたはお気軽にお声かけください。

"
8,"カーブス釧路旭町",NULL,"2016-05-18 07:49:22","2016-05-18 07:49:22","国道44号(釧路環状線)沿い旭公園向い","http://sportsclub.nifty.com/parts/logo/curves_logo.png",5000,"全国約1,600店舗と日本で最も多くの店舗を誇る女性だけの30分健康体操教室、カーブスの店舗です。カーブスはいつまでも「自分らしく」「美しく」「健康でありたい」と考える女性を応援する体操教室です。運動が苦手な女性、年齢による体力低下を心配されている女性、…そんな様々な悩みを抱えた女性に最適のプログラムをご提供します。カーブスに通っている方は40～60歳代が中心！最高齢はなんと99歳です。運動が苦手な方、ひざ腰や体力に不安のある方でも、あなたの体力・体調に合わせて運動して頂くことができます。
カーブスの特徴
◆カーブス独自の30分プログラム

自分のペースでできるやさしい筋力運動と長時間でも続けられる有酸素運動を組み合わせることで、「脂肪が燃えやすい体質」づくりを30分で実現。
ひとつひとつが女性に合わせたプログラムなので無理なく続けることができます。
1回たった30分でささっと運動でき、営業時間内ならいつでも予約いらずでご来店いただくことができます。

◆安全な運動環境

運動を始める前に女性コーチがお声かけしてひとりひとりの体調を確認します。
血圧が気になるかたは運動前に血圧を測定していただき、結果をもとに運動の調整ができます。
関節や筋肉に痛みがある場合にも、身体の状態に合わせた痛みが出ないような運動を女性コーチがサポートしますので安全に運動ができます。
身体や運動に不安があるかたはお気軽にお声かけください。

"
9,"カーブスイオン札幌桑園",NULL,"2016-05-18 07:49:22","2016-05-18 07:49:22","JR札沼線「桑園駅」より徒歩約 7分
","http://sportsclub.nifty.com/parts/logo/curves_logo.png",5000,"全国約1,600店舗と日本で最も多くの店舗を誇る女性だけの30分健康体操教室、カーブスの店舗です。カーブスはいつまでも「自分らしく」「美しく」「健康でありたい」と考える女性を応援する体操教室です。運動が苦手な女性、年齢による体力低下を心配されている女性、…そんな様々な悩みを抱えた女性に最適のプログラムをご提供します。カーブスに通っている方は40～60歳代が中心！最高齢はなんと99歳です。運動が苦手な方、ひざ腰や体力に不安のある方でも、あなたの体力・体調に合わせて運動して頂くことができます。
カーブスの特徴
◆カーブス独自の30分プログラム

自分のペースでできるやさしい筋力運動と長時間でも続けられる有酸素運動を組み合わせることで、「脂肪が燃えやすい体質」づくりを30分で実現。
ひとつひとつが女性に合わせたプログラムなので無理なく続けることができます。
1回たった30分でささっと運動でき、営業時間内ならいつでも予約いらずでご来店いただくことができます。

◆安全な運動環境

運動を始める前に女性コーチがお声かけしてひとりひとりの体調を確認します。
血圧が気になるかたは運動前に血圧を測定していただき、結果をもとに運動の調整ができます。
関節や筋肉に痛みがある場合にも、身体の状態に合わせた痛みが出ないような運動を女性コーチがサポートしますので安全に運動ができます。
身体や運動に不安があるかたはお気軽にお声かけください。

"
10,"カーブス新さっぽろサンピアザ",NULL,"2016-05-18 07:49:23","2016-05-18 07:49:23","ＪＲ新札幌駅・地下鉄東西線「新さっぽろ駅」から直結　","http://sportsclub.nifty.com/parts/logo/curves_logo.png",5000,"全国約1,600店舗と日本で最も多くの店舗を誇る女性だけの30分健康体操教室、カーブスの店舗です。カーブスはいつまでも「自分らしく」「美しく」「健康でありたい」と考える女性を応援する体操教室です。運動が苦手な女性、年齢による体力低下を心配されている女性、…そんな様々な悩みを抱えた女性に最適のプログラムをご提供します。カーブスに通っている方は40～60歳代が中心！最高齢はなんと99歳です。運動が苦手な方、ひざ腰や体力に不安のある方でも、あなたの体力・体調に合わせて運動して頂くことができます。
カーブスの特徴
◆カーブス独自の30分プログラム

自分のペースでできるやさしい筋力運動と長時間でも続けられる有酸素運動を組み合わせることで、「脂肪が燃えやすい体質」づくりを30分で実現。
ひとつひとつが女性に合わせたプログラムなので無理なく続けることができます。
1回たった30分でささっと運動でき、営業時間内ならいつでも予約いらずでご来店いただくことができます。

◆安全な運動環境

運動を始める前に女性コーチがお声かけしてひとりひとりの体調を確認します。
血圧が気になるかたは運動前に血圧を測定していただき、結果をもとに運動の調整ができます。
関節や筋肉に痛みがある場合にも、身体の状態に合わせた痛みが出ないような運動を女性コーチがサポートしますので安全に運動ができます。
身体や運動に不安があるかたはお気軽にお声かけください。

"
